id,userid,role,platform,action,createdate
33438,801,merchant,weixin,login,2016/9/23 6:11
2445,828,person,weixin,login,2016/8/16 12:41
1188,829,worker,android,knockoff,2016/8/11 19:44
4216,829,person,weixin,login,2016/8/18 13:25
2380,834,person,weixin,login,2016/8/16 11:50
21674,835,worker,weixin,login,2016/9/7 21:28
2017,840,person,weixin,login,2016/8/15 22:53
17090,847,worker,weixin,login,2016/9/2 18:43
9720,849,person,weixin,login,2016/8/25 13:14
4100,853,person,weixin,login,2016/8/18 11:28
4152,855,person,weixin,login,2016/8/18 11:50
8802,857,person,weixin,login,2016/8/24 11:26
28405,862,worker,android,knockoff,2016/9/17 7:50
28424,862,merchant,weixin,login,2016/9/17 8:46
26854,868,merchant,weixin,login,2016/9/14 13:51
4548,870,person,weixin,login,2016/8/18 19:58
18629,872,person,weixin,login,2016/9/4 15:13
3367,873,worker,weixin,login,2016/8/17 12:28
1520,874,person,weixin,login,2016/8/15 11:36
3746,891,person,weixin,login,2016/8/17 19:08
4392,894,worker,weixin,login,2016/8/18 16:30
2402,895,person,weixin,login,2016/8/16 12:08
1526,899,worker,weixin,login,2016/8/15 11:38
22003,908,worker,weixin,login,2016/9/8 12:45
26070,909,worker,weixin,login,2016/9/13 13:52
33575,911,person,weixin,login,2016/9/23 9:58
28890,917,person,weixin,login,2016/9/17 17:11
16848,918,worker,weixin,login,2016/9/2 15:47
1258,921,worker,ios,knockoff,2016/8/12 14:04
5544,921,person,weixin,login,2016/8/19 21:13
2585,922,person,weixin,login,2016/8/16 14:34
1483,923,person,weixin,login,2016/8/15 10:40
27320,927,worker,android,knockoff,2016/9/15 0:48
27318,927,worker,weixin,login,2016/9/15 0:42
32967,940,person,weixin,login,2016/9/22 14:22
2657,941,worker,weixin,login,2016/8/16 15:22
1647,943,worker,weixin,login,2016/8/15 14:08
5483,945,person,weixin,login,2016/8/19 20:05
4730,947,person,weixin,login,2016/8/19 9:05
33284,949,worker,weixin,login,2016/9/22 19:46
48585,951,worker,weixin,login,2016/10/12 20:32
40478,952,person,weixin,login,2016/10/1 8:41
11377,954,worker,weixin,login,2016/8/27 12:59
2197,958,person,weixin,login,2016/8/16 10:00
46399,961,worker,android,knockoff,2016/10/10 13:37
5146,962,person,weixin,login,2016/8/19 15:08
24814,965,worker,weixin,login,2016/9/12 0:31
2653,966,worker,weixin,login,2016/8/16 15:22
40332,968,worker,weixin,login,2016/9/30 20:08
20738,969,worker,android,knockoff,2016/9/6 22:15
8785,969,worker,weixin,login,2016/8/24 11:02
15248,970,worker,weixin,login,2016/8/31 21:54
12236,972,merchant,weixin,login,2016/8/28 14:17
1241,973,worker,ios,knockoff,2016/8/12 11:09
44356,973,person,weixin,login,2016/10/7 21:17
5950,974,person,weixin,login,2016/8/20 12:09
20747,975,merchant,weixin,login,2016/9/6 22:28
44404,976,worker,ios,knockoff,2016/10/8 0:37
2651,976,person,weixin,login,2016/8/16 15:20
13570,987,person,weixin,login,2016/8/29 21:40
2010,989,worker,weixin,login,2016/8/15 22:37
30247,990,person,weixin,login,2016/9/19 13:56
5479,993,person,weixin,login,2016/8/19 20:01
1115,996,worker,ios,startword,2016/8/10 13:55
2609,996,worker,weixin,login,2016/8/16 14:44
10827,1016,merchant,weixin,login,2016/8/26 17:18
17626,1017,person,weixin,login,2016/9/3 15:15
7863,1018,worker,weixin,login,2016/8/22 21:43
13601,1019,worker,android,knockoff,2016/8/29 22:39
3579,1019,worker,weixin,login,2016/8/17 16:28
15085,1026,person,weixin,login,2016/8/31 19:48
1473,1028,person,weixin,login,2016/8/15 10:23
35146,1031,worker,ios,knockoff,2016/9/24 22:42
3321,1033,person,weixin,login,2016/8/17 11:56
15050,1036,worker,weixin,login,2016/8/31 19:32
1125,1039,worker,ios,startword,2016/8/10 18:38
2130,1040,person,weixin,login,2016/8/16 9:22
3154,1042,person,weixin,login,2016/8/17 8:16
2934,1046,person,weixin,login,2016/8/16 19:16
21004,1047,worker,android,knockoff,2016/9/7 11:20
11402,1053,worker,weixin,login,2016/8/27 13:26
30097,1054,person,weixin,login,2016/9/19 11:48
3235,1055,merchant,weixin,login,2016/8/17 10:39
20073,1056,person,weixin,login,2016/9/6 11:02
5772,1057,person,weixin,login,2016/8/20 10:09
8857,1062,person,weixin,login,2016/8/24 12:15
45860,1064,person,weixin,login,2016/10/9 17:56
11214,1065,person,weixin,login,2016/8/27 10:26
2205,1066,worker,weixin,login,2016/8/16 10:04
4518,1068,worker,weixin,login,2016/8/18 19:16
1932,1069,person,weixin,login,2016/8/15 20:03
2574,1071,person,weixin,login,2016/8/16 14:24
1428,1074,worker,weixin,login,2016/8/15 9:23
1120,1083,worker,android,knockoff,2016/8/10 15:25
16061,1084,person,weixin,login,2016/9/1 16:47
6226,1085,person,weixin,login,2016/8/20 16:32
11339,1086,worker,weixin,login,2016/8/27 12:13
14224,1089,worker,android,knockoff,2016/8/30 16:35
5090,1089,person,weixin,login,2016/8/19 14:20
24159,1092,worker,weixin,login,2016/9/10 20:38
47237,1093,person,weixin,login,2016/10/11 14:17
9432,1096,worker,weixin,login,2016/8/24 22:32
2356,1097,person,weixin,login,2016/8/16 11:22
3440,1100,person,weixin,login,2016/8/17 13:54
19110,1102,person,weixin,login,2016/9/5 10:01
5443,1105,person,weixin,login,2016/8/19 19:44
20579,1107,worker,weixin,login,2016/9/6 18:35
35176,1108,worker,ios,knockoff,2016/9/24 23:45
35163,1108,person,weixin,login,2016/9/24 23:06
31425,1109,worker,ios,startword,2016/9/20 18:34
18829,1115,person,weixin,login,2016/9/4 19:19
1399,1116,person,weixin,login,2016/8/15 8:41
18481,1117,person,weixin,login,2016/9/4 12:35
2680,1118,person,weixin,login,2016/8/16 15:35
12585,1119,person,weixin,login,2016/8/28 22:02
1772,1120,worker,weixin,login,2016/8/15 16:30
2306,1121,person,weixin,login,2016/8/16 10:57
1636,1122,person,weixin,login,2016/8/15 13:52
52354,1124,worker,weixin,login,2016/10/17 18:31
1905,1126,worker,weixin,login,2016/8/15 19:12
2075,1132,worker,weixin,login,2016/8/16 8:00
28548,1133,worker,weixin,login,2016/9/17 10:55
33674,1135,person,weixin,login,2016/9/23 11:18
4351,1136,person,weixin,login,2016/8/18 15:49
5400,1137,person,weixin,login,2016/8/19 19:06
5170,1138,person,weixin,login,2016/8/19 15:26
22395,1141,worker,weixin,login,2016/9/8 18:00
8951,1142,worker,android,knockoff,2016/8/24 13:07
2330,1142,person,weixin,login,2016/8/16 11:07
16457,1143,worker,weixin,login,2016/9/2 9:11
11629,1146,person,weixin,login,2016/8/27 18:48
4313,1150,person,weixin,login,2016/8/18 15:14
21427,1155,merchant,weixin,login,2016/9/7 17:02
42877,1157,person,weixin,login,2016/10/6 11:21
2154,1161,person,weixin,login,2016/8/16 9:31
4409,1170,person,weixin,login,2016/8/18 17:02
7761,1176,worker,weixin,login,2016/8/22 18:46
1981,1177,person,weixin,login,2016/8/15 21:40
30296,1179,worker,weixin,login,2016/9/19 14:20
1906,1182,worker,weixin,login,2016/8/15 19:16
1387,1184,person,weixin,login,2016/8/15 8:12
8070,1185,person,weixin,login,2016/8/23 12:14
2136,1186,person,weixin,login,2016/8/16 9:23
11512,1197,merchant,weixin,login,2016/8/27 15:43
6347,1200,person,weixin,login,2016/8/20 18:21
2076,1201,worker,weixin,login,2016/8/16 8:05
1098,1204,worker,android,knockoff,2016/8/10 8:31
1660,1204,worker,weixin,login,2016/8/15 14:19
8050,1206,person,weixin,login,2016/8/23 11:38
6698,1207,person,weixin,login,2016/8/21 11:05
7914,1208,worker,weixin,login,2016/8/23 7:04
45836,1210,merchant,weixin,login,2016/10/9 17:21
35522,1212,person,weixin,login,2016/9/25 16:07
13134,1218,person,weixin,login,2016/8/29 15:28
6466,1219,worker,android,knockoff,2016/8/20 20:51
7525,1219,person,weixin,login,2016/8/22 13:38
3673,1220,person,weixin,login,2016/8/17 18:02
6909,1223,person,weixin,login,2016/8/21 14:15
12777,1224,worker,weixin,login,2016/8/29 10:27
10075,1225,worker,weixin,login,2016/8/25 18:55
2167,1226,person,weixin,login,2016/8/16 9:46
9871,1227,person,weixin,login,2016/8/25 15:45
5964,1228,person,weixin,login,2016/8/20 12:21
7536,1229,worker,weixin,login,2016/8/22 13:42
1745,1231,worker,weixin,login,2016/8/15 15:51
8536,1232,person,weixin,login,2016/8/23 20:20
1093,1235,worker,android,knockoff,2016/8/9 21:31
4153,1235,worker,weixin,login,2016/8/18 11:50
13548,1236,worker,weixin,login,2016/8/29 21:09
11390,1238,worker,android,knockoff,2016/8/27 13:12
2701,1238,person,weixin,login,2016/8/16 15:50
1839,1239,person,weixin,login,2016/8/15 17:48
19368,1244,person,weixin,login,2016/9/5 13:03
2152,1245,person,weixin,login,2016/8/16 9:30
37481,1246,person,weixin,login,2016/9/27 17:38
40238,1247,person,weixin,login,2016/9/30 18:12
2561,1250,worker,ios,knockoff,2016/8/16 14:05
2738,1250,person,weixin,login,2016/8/16 16:34
23884,1251,person,weixin,login,2016/9/10 14:53
1646,1252,worker,weixin,login,2016/8/15 14:07
4890,1253,person,weixin,login,2016/8/19 11:18
1823,1254,worker,weixin,login,2016/8/15 17:29
13603,1256,person,weixin,login,2016/8/29 22:40
30383,1257,merchant,weixin,login,2016/9/19 15:40
6590,1258,worker,weixin,login,2016/8/21 5:41
13354,1262,person,weixin,login,2016/8/29 18:00
5212,1263,person,weixin,login,2016/8/19 16:05
3889,1266,person,weixin,login,2016/8/17 22:24
23485,1267,person,weixin,login,2016/9/10 7:48
2571,1269,person,weixin,login,2016/8/16 14:22
4519,1272,worker,weixin,login,2016/8/18 19:16
3049,1273,worker,weixin,login,2016/8/16 21:35
8073,1274,worker,android,knockoff,2016/8/23 12:17
7221,1274,worker,weixin,login,2016/8/22 6:55
11502,1276,worker,weixin,login,2016/8/27 15:33
37562,1277,worker,weixin,login,2016/9/27 18:43
27076,1280,worker,weixin,login,2016/9/14 18:01
31561,1282,worker,weixin,login,2016/9/20 20:55
1518,1283,person,weixin,login,2016/8/15 11:34
1394,1284,worker,weixin,login,2016/8/15 8:29
2325,1285,person,weixin,login,2016/8/16 11:05
23533,1286,worker,android,knockoff,2016/9/10 10:00
13350,1286,person,weixin,login,2016/8/29 17:55
42305,1288,worker,weixin,login,2016/10/5 13:32
9025,1290,person,weixin,login,2016/8/24 14:01
1089,1292,worker,android,knockoff,2016/8/9 18:54
5387,1293,person,weixin,login,2016/8/19 18:47
2783,1295,person,weixin,login,2016/8/16 17:14
1571,1297,person,weixin,login,2016/8/15 12:35
1192,1298,worker,android,knockoff,2016/8/11 20:29
2157,1298,person,weixin,login,2016/8/16 9:32
17079,1300,worker,android,knockoff,2016/9/2 18:36
6552,1300,person,weixin,login,2016/8/20 22:53
7855,1301,person,weixin,login,2016/8/22 21:22
2712,1302,person,weixin,login,2016/8/16 16:03
27803,1305,person,weixin,login,2016/9/16 12:08
8935,1306,person,weixin,login,2016/8/24 12:58
4526,1307,worker,weixin,login,2016/8/18 19:24
21073,1308,person,weixin,login,2016/9/7 12:20
24290,1310,person,weixin,login,2016/9/11 8:53
4691,1312,worker,weixin,login,2016/8/19 0:33
2779,1316,person,weixin,login,2016/8/16 17:14
6275,1317,worker,weixin,login,2016/8/20 17:16
5158,1318,person,weixin,login,2016/8/19 15:16
4242,1319,person,weixin,login,2016/8/18 14:06
5957,1320,worker,weixin,login,2016/8/20 12:17
17517,1321,worker,weixin,login,2016/9/3 13:24
12919,1323,worker,weixin,login,2016/8/29 12:46
1673,1328,worker,weixin,login,2016/8/15 14:31
1504,1337,person,weixin,login,2016/8/15 11:16
4936,1338,person,weixin,login,2016/8/19 11:58
46916,1341,worker,weixin,login,2016/10/11 6:44
2124,1353,person,weixin,login,2016/8/16 9:20
3573,1365,person,weixin,login,2016/8/17 16:21
31712,1370,worker,weixin,login,2016/9/21 8:45
13417,1376,worker,weixin,login,2016/8/29 18:52
5536,1382,person,weixin,login,2016/8/19 21:00
21404,1385,worker,weixin,login,2016/9/7 16:20
7578,1409,person,weixin,login,2016/8/22 14:23
2802,1417,person,weixin,login,2016/8/16 17:26
8046,1420,person,weixin,login,2016/8/23 11:31
1543,1425,person,weixin,login,2016/8/15 11:48
4136,1432,person,weixin,login,2016/8/18 11:41
26441,1436,worker,android,knockoff,2016/9/13 20:17
8635,1442,worker,weixin,login,2016/8/23 22:34
3313,1450,person,weixin,login,2016/8/17 11:45
1748,1453,person,weixin,login,2016/8/15 16:00
4669,1460,person,weixin,login,2016/8/18 23:04
4523,1466,person,weixin,login,2016/8/18 19:21
8814,1475,person,weixin,login,2016/8/24 11:41
17591,1478,worker,weixin,login,2016/9/3 14:29
3276,1507,worker,weixin,login,2016/8/17 11:08
12747,1509,worker,ios,knockoff,2016/8/29 9:55
2081,1509,worker,weixin,login,2016/8/16 8:19
1105,1527,worker,ios,startword,2016/8/10 11:38
1417,1527,worker,weixin,login,2016/8/15 8:50
35010,1533,person,weixin,login,2016/9/24 18:35
1997,1536,worker,weixin,login,2016/8/15 22:17
1200,1542,worker,ios,knockoff,2016/8/11 22:03
16623,1542,worker,weixin,login,2016/9/2 12:49
2288,1562,person,weixin,login,2016/8/16 10:51
1495,1567,merchant,weixin,login,2016/8/15 11:09
39176,1570,merchant,weixin,login,2016/9/29 14:07
7304,1609,person,weixin,login,2016/8/22 9:27
24848,1613,worker,weixin,login,2016/9/12 7:40
1397,1622,worker,weixin,login,2016/8/15 8:34
34975,1631,person,weixin,login,2016/9/24 17:56
10232,1637,worker,weixin,login,2016/8/25 22:39
1773,1648,worker,weixin,login,2016/8/15 16:32
40240,1656,worker,weixin,login,2016/9/30 18:13
10197,1664,merchant,weixin,login,2016/8/25 21:37
51134,1680,worker,weixin,login,2016/10/16 8:58
43051,1683,person,weixin,login,2016/10/6 12:51
2142,1697,merchant,weixin,login,2016/8/16 9:26
4221,1703,person,weixin,login,2016/8/18 13:40
10790,1710,merchant,weixin,login,2016/8/26 16:46
27078,1719,worker,weixin,login,2016/9/14 18:01
25246,1725,person,weixin,login,2016/9/12 15:05
30685,1753,worker,weixin,login,2016/9/19 21:23
31872,1762,person,weixin,login,2016/9/21 12:01
45329,1768,person,weixin,login,2016/10/9 8:29
45609,1776,person,weixin,login,2016/10/9 12:55
45465,1780,worker,weixin,login,2016/10/9 10:34
3198,1789,person,weixin,login,2016/8/17 9:34
1931,1792,person,weixin,login,2016/8/15 20:00
2225,1794,person,weixin,login,2016/8/16 10:19
46249,1805,person,weixin,login,2016/10/10 11:20
39114,1808,worker,weixin,login,2016/9/29 13:11
15328,1821,worker,weixin,login,2016/9/1 5:59
10926,1834,person,weixin,login,2016/8/26 18:47
14264,1859,worker,weixin,login,2016/8/30 17:22
25780,1874,worker,weixin,login,2016/9/13 8:05
1145,1895,worker,android,knockoff,2016/8/11 0:52
1143,1895,worker,ios,startword,2016/8/11 0:10
9622,1895,person,weixin,login,2016/8/25 11:18
1095,1903,worker,android,knockoff,2016/8/10 0:17
1632,1903,person,weixin,login,2016/8/15 13:42
1879,1909,worker,weixin,login,2016/8/15 18:40
13496,1921,worker,android,knockoff,2016/8/29 20:25
1984,1921,worker,weixin,login,2016/8/15 21:48
15199,1924,worker,weixin,login,2016/8/31 21:09
3398,1931,person,weixin,login,2016/8/17 13:21
39053,1946,person,weixin,login,2016/9/29 12:07
31114,1949,person,weixin,login,2016/9/20 14:25
22841,1952,person,weixin,login,2016/9/9 12:08
7380,1958,person,weixin,login,2016/8/22 10:55
32357,1969,merchant,weixin,login,2016/9/21 20:37
46026,1978,worker,weixin,login,2016/10/9 21:21
4766,1981,merchant,weixin,login,2016/8/19 9:46
43211,1995,worker,android,knockoff,2016/10/6 14:49
1378,1995,worker,weixin,login,2016/8/15 7:38
47195,1998,person,weixin,login,2016/10/11 13:15
1610,2001,person,weixin,login,2016/8/15 13:15
1233,2007,worker,android,knockoff,2016/8/12 10:33
1344,2053,worker,weixin,login,2016/8/14 23:53
6317,2057,merchant,weixin,login,2016/8/20 17:59
2346,2060,person,weixin,login,2016/8/16 11:13
1533,2066,person,weixin,login,2016/8/15 11:43
36202,2072,worker,weixin,login,2016/9/26 13:22
18546,2081,person,weixin,login,2016/9/4 13:43
7275,2084,worker,weixin,login,2016/8/22 9:05
2948,2087,person,weixin,login,2016/8/16 19:32
26521,2093,worker,weixin,login,2016/9/13 22:32
15121,2101,worker,weixin,login,2016/8/31 20:18
4567,2107,worker,weixin,login,2016/8/18 20:23
1213,2114,worker,ios,knockoff,2016/8/12 1:04
3156,2114,person,weixin,login,2016/8/17 8:19
2022,2121,person,weixin,login,2016/8/15 23:10
44627,2123,worker,weixin,login,2016/10/8 11:29
2963,2127,person,weixin,login,2016/8/16 19:40
1835,2133,person,weixin,login,2016/8/15 17:47
1851,2135,person,weixin,login,2016/8/15 18:08
29883,2138,worker,weixin,login,2016/9/18 22:57
1833,2152,person,weixin,login,2016/8/15 17:43
3034,2158,person,weixin,login,2016/8/16 21:18
9187,2166,person,weixin,login,2016/8/24 16:52
2584,2169,person,weixin,login,2016/8/16 14:34
4570,2175,person,weixin,login,2016/8/18 20:24
1535,2177,person,weixin,login,2016/8/15 11:43
1626,2186,worker,weixin,login,2016/8/15 13:33
22374,2189,worker,android,knockoff,2016/9/8 17:41
27599,2192,worker,weixin,login,2016/9/15 18:55
29943,2198,worker,ios,startword,2016/9/19 8:58
28845,2198,worker,weixin,login,2016/9/17 16:26
6091,2204,worker,weixin,login,2016/8/20 14:06
2558,2209,person,weixin,login,2016/8/16 14:03
2912,2212,person,weixin,login,2016/8/16 18:45
6354,2218,worker,weixin,login,2016/8/20 18:37
7273,2227,person,weixin,login,2016/8/22 9:05
9562,2230,worker,weixin,login,2016/8/25 9:58
15566,2233,worker,weixin,login,2016/9/1 10:55
12882,2236,worker,android,knockoff,2016/8/29 12:11
12793,2236,worker,weixin,login,2016/8/29 10:49
1117,2242,worker,ios,startword,2016/8/10 13:58
2836,2242,person,weixin,login,2016/8/16 17:45
23698,2244,worker,android,knockoff,2016/9/10 13:05
7274,2244,person,weixin,login,2016/8/22 9:05
6505,2247,worker,weixin,login,2016/8/20 21:16
1704,2250,person,weixin,login,2016/8/15 14:55
1829,2258,person,weixin,login,2016/8/15 17:42
19177,2263,person,weixin,login,2016/9/5 10:30
10697,2265,person,weixin,login,2016/8/26 15:37
21970,2270,worker,weixin,login,2016/9/8 12:13
1970,2290,worker,weixin,login,2016/8/15 21:13
2940,2304,person,weixin,login,2016/8/16 19:27
4277,2306,person,weixin,login,2016/8/18 14:44
40241,2310,worker,weixin,login,2016/9/30 18:13
15851,2318,worker,android,knockoff,2016/9/1 13:57
